Zeitstempel,Produkt_Code,SDO_ID,Windgeschwindigkeit,Qualitaet_Niveau,Qualitaet_Byte,Leistung
201901130100,F_MN003,1346,16.3,4,10,2188.4
201901130200,F_MN003,1346,14.1,4,10,2246.8
201901130300,F_MN003,1346,14.1,4,10,2226.8
201901130400,F_MN003,1346,12.4,4,10,2231.4
201901130500,F_MN003,1346,10.0,4,10,2115.5
201901130600,F_MN003,1346,10.7,4,10,2094.9
201901130700,F_MN003,1346,11.6,4,10,2094.9
201901130800,F_MN003,1346,13.6,4,10,2094.9
201901130900,F_MN003,1346,15.9,4,10,2094.9
201901131000,F_MN003,1346,19.0,4,10,2121.8
201901131100,F_MN003,1346,18.4,4,10,2121.8
201901131200,F_MN003,1346,17.3,4,10,2067.3
201901131300,F_MN003,1346,18.8,4,10,2067.3
201901131400,F_MN003,1346,18.7,4,10,2088.6
201901131500,F_MN003,1346,18.5,4,10,2080.3
201901131600,F_MN003,1346,19.0,4,10,2080.3
201901131700,F_MN003,1346,19.1,4,10,2177.0
201901131800,F_MN003,1346,20.8,4,10,2170.9
201901131900,F_MN003,1346,21.2,4,10,2114.7
201901132000,F_MN003,1346,20.7,4,10,2114.7
201901132100,F_MN003,1346,19.4,4,10,2108.1
201901132200,F_MN003,1346,20.6,4,10,2119.2
201901132300,F_MN003,1346,18.1,4,10,2119.2
201901140000,F_MN003,1346,16.4,4,10,2126.7
201901140100,F_MN003,1346,18.6,4,10,2096.2
201901140200,F_MN003,1346,18.3,4,10,2085.1
201901140300,F_MN003,1346,16.1,4,10,2113.4
201901140400,F_MN003,1346,17.0,4,10,2111.7
201901140500,F_MN003,1346,17.0,4,10,2118.9
201901140600,F_MN003,1346,16.2,4,10,2172.0
201901140700,F_MN003,1346,16.6,4,10,2223.6
201901140800,F_MN003,1346,17.6,4,10,2193.6
201901140900,F_MN003,1346,15.9,4,10,2166.4
201901141000,F_MN003,1346,15.0,4,10,2172.0
201901141100,F_MN003,1346,14.1,4,10,2134.8
201901141200,F_MN003,1346,12.4,4,10,2133.6
201901141300,F_MN003,1346,14.5,4,10,2151.0
201901141400,F_MN003,1346,15.9,4,10,2160.5
201901141500,F_MN003,1346,14.9,4,10,2160.5
201901141600,F_MN003,1346,14.9,4,10,2132.9
201901141700,F_MN003,1346,14.5,4,10,2144.8
